round_epochs,loss,binary_accuracy,val_loss,val_binary_accuracy,activation,batch_size,dropout,losses,optimizer
39,0.03489884361624718,0.991783082485199,0.09934630990028381,0.97444087266922,relu,50,0.2,binary_crossentropy,Adam
38,0.006605102680623531,0.9983566403388977,0.24852360785007477,0.9776358008384705,relu,50,0.2,binary_crossentropy,RMSprop
34,0.010313089936971664,0.9983566403388977,0.15916934609413147,0.9782747626304626,relu,51,0.2,binary_crossentropy,Adam
47,0.008975048549473286,0.9975349307060242,0.2941974997520447,0.9750798940658569,relu,51,0.2,binary_crossentropy,RMSprop
46,0.008549761958420277,0.9967132210731506,0.27209216356277466,0.9571884870529175,relu,52,0.2,binary_crossentropy,Adam
50,0.0035674769897013903,0.9983566403388977,0.23181501030921936,0.9712460041046143,relu,52,0.2,binary_crossentropy,RMSprop
